Time,5V mV,5V uA,12V mV,12V uA,5V uW,12V uW,Tot uW,

0,63,-221,38,-531,-13,-20,-33

100,63.0,-218.0,38.0,-515.0,-13.0,-19.0,0.0,0
200,64.0,-234.0,39.0,-558.0,-14.0,-21.0,0.0,0
300,63.0,-216.0,38.0,-518.0,-13.0,-19.0,0.0,0
400,64.0,-235.0,39.0,-565.0,-15.0,-22.0,0.0,0
500,63.0,-215.0,38.0,-509.0,-13.0,-19.0,0.0,0
600,63.0,-235.0,37.0,-560.0,-14.0,-20.0,0.0,0
700,64.0,-215.0,39.0,-516.0,-13.0,-20.0,0.0,0
800,62.0,-221.0,37.0,-538.0,-13.0,-19.0,0.0,0
900,65.0,-221.0,40.0,-536.0,-14.0,-21.0,0.0,0
1000,62.0,-218.0,37.0,-528.0,-13.0,-19.0,0.0,0
1100,64.0,-226.0,40.0,-545.0,-14.0,-21.0,0.0,0
1200,62.0,-216.0,38.0,-524.0,-13.0,-19.0,0.0,0
1300,65.0,-226.0,40.0,-550.0,-14.0,-22.0,0.0,0
1400,62.0,-213.0,37.0,-515.0,-13.0,-19.0,0.0,0
1500,64.0,-236.0,39.0,-564.0,-15.0,-21.0,0.0,0
1600,63.0,-213.0,38.0,-501.0,-13.0,-19.0,0.0,0
1700,63.0,-228.0,38.0,-546.0,-14.0,-20.0,0.0,0
1800,63.0,-213.0,39.0,-507.0,-13.0,-19.0,0.0,0
1900,63.0,-226.0,38.0,-543.0,-14.0,-20.0,0.0,0
2000,64.0,-215.0,39.0,-510.0,-13.0,-19.0,0.0,0
2100,63.0,-230.0,38.0,-543.0,-14.0,-20.0,0.0,0
2200,65.0,-221.0,40.0,-519.0,-14.0,-20.0,0.0,0
2300,63.0,-221.0,37.0,-541.0,-13.0,-20.0,0.0,0
2400,64.0,-224.0,39.0,-532.0,-14.0,-20.0,0.0,0
2500,63.0,-212.0,37.0,-520.0,-13.0,-19.0,0.0,0
2600,63.0,-228.0,38.0,-538.0,-14.0,-20.0,0.0,0
2700,63.0,-214.0,38.0,-516.0,-13.0,-19.0,0.0,0
2800,64.0,-226.0,38.0,-537.0,-14.0,-20.0,0.0,0
2900,64.0,-212.0,38.0,-521.0,-13.0,-19.0,0.0,0
3000,64.0,-227.0,38.0,-539.0,-14.0,-20.0,0.0,0
3100,64.0,-215.0,38.0,-514.0,-13.0,-19.0,0.0,0
3200,63.0,-227.0,38.0,-546.0,-14.0,-20.0,0.0,0
3300,64.0,-221.0,39.0,-537.0,-14.0,-20.0,0.0,0
3400,62.0,-217.0,37.0,-530.0,-13.0,-19.0,0.0,0
3500,64.0,-224.0,39.0,-533.0,-14.0,-20.0,0.0,0
3600,63.0,-126.0,38.0,-530.0,-7.0,-20.0,0.0,0
3700,64.0,-222.0,38.0,-539.0,-14.0,-20.0,0.0,0
3800,63.0,-212.0,38.0,-526.0,-13.0,-19.0,0.0,0
3900,63.0,-231.0,38.0,-536.0,-14.0,-20.0,0.0,0
4000,64.0,-215.0,39.0,-532.0,-13.0,-20.0,0.0,0
4100,62.0,-230.0,37.0,-531.0,-14.0,-19.0,0.0,0
4200,63.0,-217.0,39.0,-533.0,-13.0,-20.0,0.0,0
4300,62.0,-227.0,37.0,-527.0,-14.0,-19.0,0.0,0
4400,64.0,-216.0,38.0,-538.0,-13.0,-20.0,0.0,0
4500,62.0,-223.0,37.0,-517.0,-13.0,-19.0,0.0,0
4600,63.0,-221.0,39.0,-538.0,-13.0,-20.0,0.0,0
4700,62.0,-216.0,37.0,-518.0,-13.0,-19.0,0.0,0
4800,65.0,-227.0,39.0,-539.0,-14.0,-21.0,0.0,0
4900,64.0,-217.0,38.0,-517.0,-13.0,-19.0,0.0,0
5000,63.0,-235.0,38.0,-556.0,-14.0,-21.0,0.0,0
5100,64.0,-213.0,38.0,-516.0,-13.0,-19.0,0.0,0
5200,62.0,-231.0,38.0,-553.0,-14.0,-21.0,0.0,0
5300,64.0,-216.0,39.0,-526.0,-13.0,-20.0,0.0,0
5400,62.0,-230.0,38.0,-540.0,-14.0,-20.0,0.0,0
5500,64.0,-214.0,39.0,-531.0,-13.0,-20.0,0.0,0
5600,62.0,-220.0,38.0,-526.0,-13.0,-19.0,0.0,0
5700,64.0,-228.0,40.0,-544.0,-14.0,-21.0,0.0,0
5800,62.0,-216.0,38.0,-514.0,-13.0,-19.0,0.0,0
5900,64.0,-228.0,39.0,-553.0,-14.0,-21.0,0.0,0
6000,63.0,-214.0,37.0,-509.0,-13.0,-18.0,0.0,0
6100,64.0,-234.0,39.0,-563.0,-14.0,-21.0,0.0,0
6200,63.0,-213.0,38.0,-511.0,-13.0,-19.0,0.0,0
6300,63.0,-235.0,38.0,-562.0,-14.0,-21.0,0.0,0
6400,64.0,-213.0,38.0,-504.0,-13.0,-19.0,0.0,0
6500,62.0,-224.0,38.0,-541.0,-13.0,-20.0,0.0,0
6600,64.0,-218.0,39.0,-513.0,-13.0,-20.0,0.0,0
6700,63.0,-220.0,37.0,-539.0,-13.0,-19.0,0.0,0
6800,65.0,-223.0,40.0,-529.0,-14.0,-21.0,0.0,0
6900,62.0,-219.0,37.0,-530.0,-13.0,-19.0,0.0,0
7000,65.0,-228.0,40.0,-540.0,-14.0,-21.0,0.0,0
7100,62.0,-219.0,37.0,-528.0,-13.0,-19.0,0.0,0
7200,63.0,-229.0,39.0,-536.0,-14.0,-20.0,0.0,0
7300,63.0,-209.0,38.0,-517.0,-13.0,-19.0,0.0,0
7400,63.0,-226.0,38.0,-537.0,-14.0,-20.0,0.0,0
7500,63.0,-209.0,39.0,-506.0,-13.0,-19.0,0.0,0
7600,63.0,-226.0,38.0,-543.0,-14.0,-20.0,0.0,0
7700,64.0,-216.0,39.0,-511.0,-13.0,-19.0,0.0,0
7800,62.0,-227.0,38.0,-547.0,-14.0,-20.0,0.0,0
7900,64.0,-213.0,39.0,-511.0,-13.0,-19.0,0.0,0
8000,62.0,-226.0,38.0,-549.0,-14.0,-20.0,0.0,0
8100,64.0,-225.0,39.0,-534.0,-14.0,-20.0,0.0,0
8200,62.0,-214.0,38.0,-527.0,-13.0,-20.0,0.0,0
8300,64.0,-256.0,39.0,-533.0,-16.0,-20.0,0.0,0
8400,63.0,-233.0,37.0,-521.0,-14.0,-19.0,0.0,0
8500,63.0,-228.0,39.0,-531.0,-14.0,-20.0,0.0,0
8600,63.0,-210.0,38.0,-523.0,-13.0,-19.0,0.0,0
8700,63.0,-229.0,38.0,-539.0,-14.0,-20.0,0.0,0
8800,63.0,-219.0,39.0,-536.0,-13.0,-20.0,0.0,0
8900,63.0,-225.0,37.0,-526.0,-14.0,-19.0,0.0,0
9000,64.0,-219.0,39.0,-532.0,-14.0,-20.0,0.0,0
9100,63.0,-224.0,38.0,-523.0,-14.0,-19.0,0.0,0
9200,64.0,-222.0,39.0,-536.0,-14.0,-20.0,0.0,0
9300,62.0,-217.0,37.0,-519.0,-13.0,-19.0,0.0,0
9400,64.0,-228.0,39.0,-536.0,-14.0,-20.0,0.0,0
9500,63.0,-215.0,38.0,-525.0,-13.0,-19.0,0.0,0
9600,64.0,-227.0,38.0,-537.0,-14.0,-20.0,0.0,0
9700,63.0,-217.0,38.0,-524.0,-13.0,-19.0,0.0,0
9800,62.0,-191.0,37.0,-547.0,-11.0,-20.0,0.0,0
9900,64.0,-213.0,39.0,-526.0,-13.0,-20.0,0.0,0
10000,62.0,-229.0,37.0,-537.0,-14.0,-19.0,0.0,0
10100,64.0,-218.0,39.0,-533.0,-13.0,-20.0,0.0,0
10200,62.0,-228.0,38.0,-525.0,-14.0,-19.0,0.0,0
10300,65.0,-217.0,39.0,-538.0,-14.0,-20.0,0.0,0
10400,63.0,-218.0,38.0,-521.0,-13.0,-19.0,0.0,0
10500,64.0,-228.0,40.0,-552.0,-14.0,-22.0,0.0,0
10600,62.0,-216.0,37.0,-516.0,-13.0,-19.0,0.0,0
10700,63.0,-232.0,39.0,-563.0,-14.0,-21.0,0.0,0
10800,63.0,-217.0,38.0,-510.0,-13.0,-19.0,0.0,0
10900,63.0,-236.0,38.0,-564.0,-14.0,-21.0,0.0,0
11000,63.0,-215.0,38.0,-513.0,-13.0,-19.0,0.0,0
11100,63.0,-236.0,38.0,-560.0,-14.0,-21.0,0.0,0
11200,64.0,-210.0,39.0,-506.0,-13.0,-19.0,0.0,0
11300,62.0,-224.0,37.0,-541.0,-13.0,-20.0,0.0,0
11400,64.0,-271.0,39.0,-520.0,-17.0,-20.0,0.0,0
11500,62.0,-229.0,37.0,-537.0,-14.0,-19.0,0.0,0
11600,64.0,-226.0,40.0,-535.0,-14.0,-21.0,0.0,0
11700,62.0,-219.0,37.0,-527.0,-13.0,-19.0,0.0,0
11800,65.0,-225.0,41.0,-547.0,-14.0,-22.0,0.0,0
11900,62.0,-216.0,37.0,-519.0,-13.0,-19.0,0.0,0
12000,63.0,-227.0,39.0,-541.0,-14.0,-21.0,0.0,0
12100,63.0,-214.0,38.0,-516.0,-13.0,-19.0,0.0,0
12200,63.0,-226.0,38.0,-543.0,-14.0,-20.0,0.0,0
12300,63.0,-209.0,38.0,-504.0,-13.0,-19.0,0.0,0
12400,63.0,-229.0,38.0,-547.0,-14.0,-20.0,0.0,0
12500,65.0,-216.0,39.0,-511.0,-14.0,-19.0,0.0,0
12600,63.0,-226.0,38.0,-543.0,-14.0,-20.0,0.0,0
12700,64.0,-215.0,40.0,-513.0,-13.0,-20.0,0.0,0
12800,62.0,-225.0,37.0,-542.0,-13.0,-20.0,0.0,0
12900,63.0,-224.0,39.0,-531.0,-14.0,-20.0,0.0,0
13000,62.0,-209.0,38.0,-529.0,-12.0,-20.0,0.0,0
13100,64.0,-266.0,38.0,-532.0,-17.0,-20.0,0.0,0
13200,63.0,-208.0,37.0,-525.0,-13.0,-19.0,0.0,0
13300,63.0,-230.0,39.0,-538.0,-14.0,-20.0,0.0,0
13400,63.0,-208.0,38.0,-519.0,-13.0,-19.0,0.0,0
